grad-year,hometown,latitude,longitude,college
1933,"Oakton, VA",38.880787,-77.301381,Westhampton
1933,"Ocean Township, NJ",40.25357,-74.012414,Richmond
1933,"Ocean, NJ",39.837145,-74.292103,Westhampton
1933,"Oceanport, NJ",40.321895,-74.016374,Westhampton
1933,"Onancock, VA",37.711705,-75.747114,Westhampton
1933,"Orchard Park, NY",42.76619,-78.743869,Westhampton
1933,"Oxford, MD",38.687625,-76.172009,Richmond
1933,"Palm Beach Gardens, FL",26.83272,-80.105319,Richmond
1933,"Park Ridge, NJ",41.03366,-74.038939,Richmond
1933,"Parkesburg, PA",39.959105,-75.918044,Westhampton
1933,"Parkland, FL",26.316249,-80.251341,Westhampton
1933,"Pennsauken, NJ",39.957765,-75.066704,Richmond
1933,"Philadelphia, PA",39.95228,-75.162454,Richmond
1933,"Phoenixville, PA",40.13313,-75.513949,Westhampton
1933,"Pittsburgh, PA",40.438335,-79.997459,Westhampton
1933,"Pittsburgh, PA",40.438335,-79.997459,Westhampton
1933,"Pittsburgh, PA",40.438335,-79.997459,Westhampton
1933,"Pittsford, NY",43.09112,-77.516149,Westhampton
1933,"Poland, OH",41.023495,-80.613094,Westhampton
1933,"Port Washington, NY",40.832381,-73.700872,Richmond
1933,"Portsmouth, RI",41.588798,-71.253236,Richmond
1933,"Portsmouth, VA",36.832642,-76.297715,Richmond
1933,"Potomac, MD",39.017653,-77.208337,Westhampton
1933,"Potomac, MD",39.017653,-77.208337,Richmond
1933,"Potomac, MD",39.017653,-77.208337,Richmond
1933,"Poughkeepsie, NY",41.706715,-73.929374,Richmond
1933,"Princess Anne, MD",38.209785,-75.694954,Westhampton
1933,"Princeton Junction, NJ",40.3163,-74.617095,Westhampton
1933,"Princeton Junction, NJ",40.3163,-74.617095,Westhampton
1933,"Princeton Junction, NJ",40.3163,-74.617095,Richmond
1933,"Princeton, NJ",40.349855,-74.659119,Richmond
1933,"Purcellville, VA",39.136675,-77.713759,Richmond
1933,"Radnor, PA",40.037819,-75.371712,Westhampton
1933,"Raleigh, NC",35.78551,-78.642669,Richmond
1933,"Raleigh, NC",35.78551,-78.642669,Westhampton
1933,"Randallstown, MD",39.36284,-76.782644,Westhampton
1933,"Randolph, NJ",40.848615,-74.561724,Westhampton
1933,"Red Bank, NJ",40.34921,-74.070142,Richmond
1933,"Redding, CT",41.30436,-73.38265,Richmond
1933,"Reedville, VA",37.84608,-76.273974,Richmond
1933,"Reisterstown, MD",39.464791,-76.829198,Richmond
1933,"Reistertown, MD",38.817598,-77.268219,Westhampton
1933,Republic of Singapore,1.29321,104.013359,Westhampton
1933,"Reston, VA",38.959374,-77.354571,Westhampton
1933,"Reston, VA",38.959374,-77.354571,Richmond
1933,"Reston, VA",38.959374,-77.354571,Richmond
1933,"Richmond, VA",37.540972,-77.432889,Westhampton
1933,"Richmond, VA",37.540972,-77.432889,Richmond
1933,"Richmond, VA",37.540972,-77.432889,Westhampton
1933,"Richmond, VA",37.540972,-77.432889,Richmond
1933,"Richmond, VA",37.540972,-77.432889,Westhampton
1933,"Richmond, VA",37.540972,-77.432889,Westhampton
1933,"Richmond, VA",37.540972,-77.432889,Richmond
1933,"Richmond, VA",37.540972,-77.432889,Richmond
1933,"Richmond, VA",37.540972,-77.432889,Westhampton
1933,"Richmond, VA",37.540972,-77.432889,Richmond
1933,"Richmond, VA",37.540972,-77.432889,Westhampton
1933,"Richmond, VA",37.540972,-77.432889,Richmond
1933,"Richmond, VA",37.540972,-77.432889,Westhampton
1933,"Richmond, VA",37.540972,-77.432889,Westhampton
1933,"Richmond, VA",37.540972,-77.432889,Richmond
1933,"Richmond, VA",37.540972,-77.432889,Westhampton
1933,"Richmond, VA",37.540972,-77.432889,Westhampton
1933,"Richmond, VA",37.540972,-77.432889,Westhampton
1933,"Richmond, VA",37.540972,-77.432889,Westhampton
1933,"Richmond, VA",37.540972,-77.432889,Richmond
1933,"Richmond, VA",37.540972,-77.432889,Westhampton
1933,"Richmond, VA",37.540972,-77.432889,Richmond
1933,"Richmond, VA",37.540972,-77.432889,Richmond
1933,"Richmond, VA",37.540972,-77.432889,Westhampton
1933,"Richmond, VA",37.540972,-77.432889,Westhampton
1933,"Richmond, VA",37.540972,-77.432889,Richmond
1933,"Richmond, VA",37.540972,-77.432889,Westhampton
1933,"Richmond, VA",37.540972,-77.432889,Westhampton
1933,"Richmond, VA",37.540972,-77.432889,Richmond
1933,"Richmond, VA",37.540972,-77.432889,Westhampton
1933,"Richmond, VA",37.540972,-77.432889,Richmond
1933,"Richmond, VA",37.540972,-77.432889,Westhampton
1933,"Richmond, VA",37.540972,-77.432889,Westhampton
